Id_Rssd,Region,N,asOfDate
1026632,Northern America,39,2014-03-31
1026632,Europe,2,2014-03-31
1026632,Southeast Asia and Oceania,9,2014-03-31
1026632,East Asia,2,2014-03-31
1026632,Northern America,37,2014-06-30
1026632,Europe,2,2014-06-30
1026632,Southeast Asia and Oceania,9,2014-06-30
1026632,East Asia,2,2014-06-30
1026632,Northern America,35,2014-09-30
1026632,Europe,2,2014-09-30
1026632,Southeast Asia and Oceania,9,2014-09-30
1026632,East Asia,2,2014-09-30
1026632,Northern America,36,2014-12-31
1026632,Europe,2,2014-12-31
1026632,Southeast Asia and Oceania,9,2014-12-31
1026632,East Asia,2,2014-12-31
1026632,Northern America,36,2015-03-31
1026632,Europe,2,2015-03-31
1026632,Southeast Asia and Oceania,9,2015-03-31
1026632,East Asia,2,2015-03-31
1026632,Northern America,37,2015-06-30
1026632,Europe,2,2015-06-30
1026632,Southeast Asia and Oceania,9,2015-06-30
1026632,East Asia,2,2015-06-30
1026632,Northern America,38,2015-09-30
1026632,Europe,2,2015-09-30
1026632,Southeast Asia and Oceania,9,2015-09-30
1026632,East Asia,2,2015-09-30
1026632,Northern America,38,2015-12-31
1026632,Europe,2,2015-12-31
1026632,Southeast Asia and Oceania,9,2015-12-31
1026632,East Asia,2,2015-12-31
1026632,Northern America,38,2016-03-31
1026632,Europe,2,2016-03-31
1026632,Southeast Asia and Oceania,8,2016-03-31
1026632,East Asia,2,2016-03-31
1026632,Northern America,38,2016-06-30
1026632,Europe,2,2016-06-30
1026632,Southeast Asia and Oceania,8,2016-06-30
1026632,East Asia,2,2016-06-30
1026632,Northern America,38,2016-09-30
1026632,Europe,2,2016-09-30
1026632,Southeast Asia and Oceania,8,2016-09-30
1026632,East Asia,1,2016-09-30
1026632,Northern America,36,2016-12-31
1026632,Europe,2,2016-12-31
1026632,Southeast Asia and Oceania,8,2016-12-31
1026632,East Asia,1,2016-12-31
1026632,Northern America,36,2017-03-31
1026632,Europe,2,2017-03-31
1026632,Southeast Asia and Oceania,8,2017-03-31
1026632,East Asia,1,2017-03-31
1026632,Northern America,35,2017-06-30
1026632,Europe,2,2017-06-30
1026632,Southeast Asia and Oceania,8,2017-06-30
1026632,East Asia,1,2017-06-30
1026632,Northern America,35,2017-09-30
1026632,Southeast Asia and Oceania,5,2017-09-30
1026632,Europe,2,2017-09-30
1026632,East Asia,1,2017-09-30
1026632,Northern America,36,2017-12-31
1026632,Southeast Asia and Oceania,5,2017-12-31
1026632,Europe,2,2017-12-31
1026632,East Asia,1,2017-12-31
1026632,Northern America,36,2018-03-31
1026632,Southeast Asia and Oceania,5,2018-03-31
1026632,Europe,2,2018-03-31
1026632,East Asia,1,2018-03-31
1026632,Northern America,35,2018-06-30
1026632,Southeast Asia and Oceania,5,2018-06-30
1026632,Europe,2,2018-06-30
1026632,East Asia,1,2018-06-30
1026632,Northern America,36,2018-09-30
1026632,Southeast Asia and Oceania,5,2018-09-30
1026632,Europe,2,2018-09-30
1026632,East Asia,1,2018-09-30
1037003,Northern America,30,1999-12-31
1037003,Northern America,32,2000-03-31
1037003,Northern America,32,2000-06-30
