Rank,Name,RSSDID,Location,TotalAsset
64,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"WAYNE,NJ",30881948.0
65,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT,IL",30142589.0
66,IBERIABANK CORPORATION                                                                                                  ,2291914,"LAFAYETTE,LA",30118387.0
67,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT,MS",28107566.0
68,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"WATERBURY,CT",27377572.0
69,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS,TX",27127328.0
70,UMPQUA HOLDINGS CORPORATION                                                                                             ,2747644,"PORTLAND,OR",26615067.0
71,"INVESTORS BANCORP, INC.                                                                                                 ",2477754,"SHORT HILLS,NJ",25522972.0
72,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY,MO",25098702.0
73,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS,CA",24782126.0
74,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE,TN",24557545.0
75,"UTRECHT-AMERICA HOLDINGS, INC.                                                                                          ",2307280,"NEW YORK,NY",24186364.0
76,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS,MO",23760048.0
77,TCF FINANCIAL CORPORATION                                                                                               ,2389941,"WAYZATA,MN",22921112.0
78,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON,TX",22624728.0
79,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX,AZ",22176147.0
80,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY,MO",21462360.0
81,CHEMICAL FINANCIAL CORPORATION                                                                                          ,1201934,"DETROIT,MI",20905489.0
82,"FIRST NATIONAL OF NEBRASKA, INC.                                                                                        ",1020902,"OMAHA,NE",20505910.0
83,FULTON FINANCIAL CORPORATION                                                                                            ,1117129,"LANCASTER,PA",20335390.0
84,"FIRST HAWAIIAN, INC.                                                                                                    ",1025608,"HONOLULU,HI",19983838.0
85,"MB FINANCIAL, INC.                                                                                                      ",1090987,"CHICAGO,IL",19719971.0
86,"UNITED BANKSHARES, INC.                                                                                                 ",1076217,"CHARLESTON,WV",19187643.0
87,"FLAGSTAR BANCORP, INC.                                                                                                  ",3852022,"TROY,MI",18697239.0
88,"MACY'S, INC.                                                                                                            ",4103310,"CINCINNATI,OH",18667538.0
89,"ARVEST BANK GROUP, INC.                                                                                                 ",1095674,"BENTONVILLE,AR",18576115.0
90,FIRSTBANK HOLDING COMPANY                                                                                               ,1060627,"LAKEWOOD,CO",18438807.0
91,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE,IN",17567877.0
92,BANK OF HAWAII CORPORATION                                                                                              ,1025309,"HONOLULU,HI",16991734.0
93,MODERN WOODMEN OF AMERICA                                                                                               ,3057395,"ROCK ISLAND,IL",16671751.0
94,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY,OK",16490778.0
95,CATHAY GENERAL BANCORP                                                                                                  ,1843080,"LOS ANGELES,CA",16461721.0
96,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,"PINE BLUFF,AR",16286322.0
97,"WASHINGTON FEDERAL, INC.                                                                                                ",3065617,"SEATTLE,WA",15865724.0
98,"HOPE BANCORP, INC.                                                                                                      ",2961879,"LOS ANGELES,CA",15229743.0
99,"FIRST MIDWEST BANCORP, INC.                                                                                             ",1208184,"CHICAGO,IL",14961499.0
100,"HOME BANCSHARES, INC.                                                                                                   ",1491409,"CONWAY,AR",14912738.0
101,SOUTH STATE CORPORATION                                                                                                 ,1133437,"COLUMBIA,SC",14522215.0
102,"THIRD FEDERAL SAVINGS AND LOAN ASSOCIATION OF CLEVELAND, MHC                                                            ",3828036,"CLEVELAND,OH",14137279.0
103,"BCI FINANCIAL GROUP, INC.                                                                                               ",3762457,"MIAMI,FL",13958642.0
104,FIRST FINANCIAL BANCORP                                                                                                 ,1071276,"CINCINNATI,OH",13842667.0
105,"HILLTOP HOLDINGS, INC                                                                                                   ",3838727,"DALLAS,TX",13764536.0
106,"APPLE FINANCIAL HOLDINGS, INC.                                                                                          ",3446412,"NEW YORK,NY",13623727.0
107,TRUSTMARK CORPORATION                                                                                                   ,1079562,"JACKSON,MS",13439812.0
108,UNION BANKSHARES CORPORATION                                                                                            ,1971693,"RICHMOND,VA",13377400.0
109,"FIRST INTERSTATE BANCSYSTEM, INC.                                                                                       ",1123670,"BILLINGS,MT",13355352.0
110,"COLUMBIA BANKING SYSTEM, INC.                                                                                           ",2078816,"TACOMA,WA",12956596.0
111,"HAWAIIAN ELECTRIC INDUSTRIES, INC.                                                                                      ",3842957,"HONOLULU,HI",12911554.0
112,RENASANT CORPORATION                                                                                                    ,1098844,"TUPELO,MS",12746939.0
113,"CENTRAL BANCOMPANY, INC                                                                                                 ",1094314,"JEFFERSON CITY,MO",12697646.0
114,"WESBANCO, INC.                                                                                                          ",1070448,"WHEELING,WV",12604418.0
115,"FCB FINANCIAL HOLDINGS, INC.                                                                                            ",3944628,"WESTON,FL",12433356.0
116,"UNITED COMMUNITY BANKS, INC.                                                                                            ",1249347,"BLAIRSVILLE,GA",12406803.0
117,CENTERSTATE BANK CORPORATION                                                                                            ,2868129,"WINTER HAVEN,FL",12274365.0
118,FIRST BANCORP                                                                                                           ,2744894,"SAN JUAN,PR",12209700.0
119,BREMER FINANCIAL CORPORATION                                                                                            ,1020180,"SAINT PAUL,MN",12119987.0
120,"GREAT WESTERN BANCORP, INC.                                                                                             ",4809920,"SIOUX FALLS,SD",12116752.0
121,"BERKSHIRE HILLS BANCORP, INC                                                                                            ",2333663,"BOSTON,MA",12032785.0
122,"GLACIER BANCORP, INC.                                                                                                   ",2003975,"KALISPELL,MT",11909102.0
