Id_Rssd,N,asOfDate
1068025,10,2000-09-30
1068025,10,2000-12-31
1068025,10,2001-03-31
1068025,10,2001-06-30
1068025,10,2001-09-30
1068025,12,2001-12-31
1068025,11,2002-03-31
1068025,11,2002-06-30
1068025,11,2002-09-30
1068025,11,2002-12-31
1068025,11,2003-03-31
1068025,11,2003-06-30
1068025,11,2003-09-30
1068025,11,2003-12-31
1068025,11,2004-03-31
1068025,11,2004-06-30
1068025,11,2004-09-30
1068025,11,2004-12-31
1068025,10,2005-03-31
1068025,8,2005-06-30
1068025,8,2005-09-30
1068025,8,2005-12-31
1068025,8,2006-03-31
1068025,8,2006-06-30
1068025,8,2006-09-30
1068025,8,2006-12-31
1068025,8,2007-03-31
1068025,8,2007-06-30
1068025,8,2007-09-30
1068025,8,2007-12-31
1068025,9,2008-03-31
1068025,9,2008-06-30
1068025,9,2008-09-30
1068025,9,2008-12-31
1068025,10,2009-03-31
1068025,10,2009-06-30
1068025,10,2009-09-30
1068025,7,2009-12-31
1068025,7,2010-03-31
1068025,7,2010-06-30
1068025,8,2010-09-30
1068025,8,2010-12-31
1068025,8,2011-03-31
1068025,7,2011-06-30
1068025,7,2011-09-30
1068025,7,2011-12-31
1068025,7,2012-03-31
1068025,8,2012-06-30
1068025,8,2012-09-30
1068025,7,2012-12-31
1068025,7,2013-03-31
1068025,6,2013-06-30
1068025,6,2013-09-30
1068025,6,2013-12-31
1068025,6,2014-03-31
1068025,6,2014-06-30
1068025,6,2014-09-30
1068025,2,2014-12-31
1068025,2,2015-03-31
1068025,2,2015-06-30
1068025,2,2015-09-30
1068025,1,2015-12-31
1068025,1,2016-03-31
1068025,1,2016-06-30
1068025,1,2016-09-30
1068025,1,2016-12-31
1068025,1,2017-03-31
1068025,1,2017-06-30
1068025,1,2017-09-30
1068025,1,2017-12-31
1068025,0,2018-03-31
1068025,0,2018-06-30
1068025,0,2018-09-30
1068191,1,1999-12-31
1068191,1,2000-03-31
1068191,1,2000-06-30
1068191,1,2000-09-30
1068191,1,2000-12-31
1068191,1,2001-03-31
1068191,1,2001-06-30
1068191,1,2001-09-30
1068191,1,2001-12-31
1068191,1,2002-03-31
1068191,1,2002-06-30
1068191,1,2002-09-30
1068191,1,2002-12-31
1068191,1,2003-03-31
1068191,1,2003-06-30
1068191,3,2003-09-30
1068191,3,2003-12-31
1068191,3,2004-03-31
1068191,3,2004-06-30
1068191,3,2004-09-30
1068191,3,2004-12-31
1068191,3,2005-03-31
1068191,3,2005-06-30
1068191,2,2005-09-30
1068191,2,2005-12-31
1068191,2,2006-03-31
1068191,4,2006-06-30
1068191,4,2006-09-30
1068191,4,2006-12-31
1068191,4,2007-03-31
1068191,4,2007-06-30
1068191,4,2007-09-30
1068191,4,2007-12-31
1068191,4,2008-03-31
1068191,4,2008-06-30
1068191,4,2008-09-30
1068191,4,2008-12-31
1068191,4,2009-03-31
1068191,4,2009-06-30
1068191,4,2009-09-30
1068191,4,2009-12-31
1068191,4,2010-03-31
1068191,4,2010-06-30
1068191,4,2010-09-30
1068191,3,2010-12-31
1068191,3,2011-03-31
1068191,2,2011-06-30
1068191,2,2011-09-30
1068191,2,2011-12-31
1068191,2,2012-03-31
1068191,2,2012-06-30
1068191,2,2012-09-30
1068191,2,2012-12-31
1068191,2,2013-03-31
1068191,2,2013-06-30
1068191,2,2013-09-30
1068191,2,2013-12-31
1068191,1,2014-03-31
1068191,1,2014-06-30
1068191,1,2014-09-30
1068191,1,2014-12-31
1068191,1,2015-03-31
1068191,1,2015-06-30
1068191,1,2015-09-30
1068191,1,2015-12-31
1068191,1,2016-03-31
1068191,1,2016-06-30
1068191,1,2016-09-30
1068191,0,2016-12-31
1068191,0,2017-03-31
1068191,0,2017-06-30
1068191,0,2017-09-30
1068191,0,2017-12-31
1068191,0,2018-03-31
1068191,0,2018-06-30
1068191,0,2018-09-30
1069778,4,1999-12-31
1069778,4,2000-03-31
1069778,4,2000-06-30
1069778,4,2000-09-30
1069778,4,2000-12-31
1069778,5,2001-03-31
1069778,5,2001-06-30
