"Type","V1","yearqtr"
"FHC - Domestic",671,2008-12-31
"FHC - Foreign",49,2008-12-31
"FBO as BHC",49,2008-12-31
"SLHC",717,2009-03-31
"BHC",5021,2009-03-31
"FHC - Domestic",644,2009-03-31
"FHC - Foreign",49,2009-03-31
"FBO as BHC",49,2009-03-31
"SLHC",723,2009-06-30
"BHC",5021,2009-06-30
"FHC - Domestic",623,2009-06-30
"FHC - Foreign",47,2009-06-30
"FBO as BHC",51,2009-06-30
"SLHC",728,2009-09-30
"BHC",5000,2009-09-30
"FHC - Domestic",606,2009-09-30
"FHC - Foreign",47,2009-09-30
"FBO as BHC",48,2009-09-30
"SLHC",740,2009-12-31
"BHC",4982,2009-12-31
"FHC - Domestic",575,2009-12-31
"FHC - Foreign",47,2009-12-31
"FBO as BHC",48,2009-12-31
"SLHC",746,2010-03-31
"BHC",4975,2010-03-31
"FHC - Domestic",545,2010-03-31
"FHC - Foreign",45,2010-03-31
"FBO as BHC",50,2010-03-31
"SLHC",768,2010-06-30
"BHC",4929,2010-06-30
"FHC - Domestic",542,2010-06-30
"FHC - Foreign",46,2010-06-30
"FBO as BHC",50,2010-06-30
"SLHC",784,2010-09-30
"BHC",4924,2010-09-30
"FHC - Domestic",524,2010-09-30
"FHC - Foreign",46,2010-09-30
"FBO as BHC",50,2010-09-30
"SLHC",800,2010-12-31
"BHC",4878,2010-12-31
"FHC - Domestic",510,2010-12-31
"FHC - Foreign",46,2010-12-31
"FBO as BHC",48,2010-12-31
"SLHC",808,2011-03-31
"BHC",4840,2011-03-31
"FHC - Domestic",506,2011-03-31
"FHC - Foreign",46,2011-03-31
"FBO as BHC",50,2011-03-31
"SLHC",805,2011-06-30
"BHC",4818,2011-06-30
"FHC - Domestic",502,2011-06-30
"FHC - Foreign",46,2011-06-30
"FBO as BHC",51,2011-06-30
"SLHC",806,2011-09-30
"BHC",4801,2011-09-30
"FHC - Domestic",494,2011-09-30
"FHC - Foreign",46,2011-09-30
"FBO as BHC",51,2011-09-30
"SLHC",800,2011-12-31
"BHC",4772,2011-12-31
"FHC - Domestic",492,2011-12-31
"FHC - Foreign",46,2011-12-31
"FBO as BHC",52,2011-12-31
"SLHC",761,2012-03-31
"BHC",4767,2012-03-31
"FHC - Domestic",483,2012-03-31
"FHC - Foreign",46,2012-03-31
"FBO as BHC",52,2012-03-31
"BHC",4745,2012-06-30
"FHC - Domestic",486,2012-06-30
"SLHC",745,2012-06-30
"FHC - Foreign",45,2012-06-30
"FBO as BHC",51,2012-06-30
"BHC",4707,2012-09-30
"FHC - Domestic",486,2012-09-30
"SLHC",726,2012-09-30
"FHC - Foreign",45,2012-09-30
"FBO as BHC",53,2012-09-30
"BHC",4635,2012-12-31
"FHC - Domestic",489,2012-12-31
"SLHC",668,2012-12-31
"FHC - Foreign",45,2012-12-31
"FBO as BHC",52,2012-12-31
"BHC",4621,2013-03-31
"FHC - Domestic",486,2013-03-31
"SLHC",653,2013-03-31
"FHC - Foreign",45,2013-03-31
"FBO as BHC",52,2013-03-31
"BHC",4578,2013-06-30
"FHC - Domestic",490,2013-06-30
"SLHC",641,2013-06-30
"FHC - Foreign",47,2013-06-30
"FBO as BHC",50,2013-06-30
"BHC",4550,2013-09-30
"FHC - Domestic",492,2013-09-30
"SLHC",628,2013-09-30
"FHC - Foreign",47,2013-09-30
"FBO as BHC",51,2013-09-30
"BHC",4508,2013-12-31
"FHC - Domestic",494,2013-12-31
"SLHC",592,2013-12-31
"FHC - Foreign",47,2013-12-31
"FBO as BHC",56,2013-12-31
"BHC",4471,2014-03-31
"FHC - Domestic",495,2014-03-31
"SLHC",587,2014-03-31
"FHC - Foreign",47,2014-03-31
"FBO as BHC",55,2014-03-31
"BHC",4431,2014-06-30
"FHC - Domestic",498,2014-06-30
"SLHC",560,2014-06-30
"FHC - Foreign",47,2014-06-30
"FBO as BHC",54,2014-06-30
"BHC",4384,2014-09-30
"FHC - Domestic",496,2014-09-30
"SLHC",555,2014-09-30
"FHC - Foreign",47,2014-09-30
"FBO as BHC",42,2014-09-30
"BHC",4343,2014-12-31
"FHC - Domestic",498,2014-12-31
"SLHC",527,2014-12-31
"FHC - Foreign",47,2014-12-31
"FBO as BHC",40,2014-12-31
"BHC",4294,2015-03-31
"FHC - Domestic",497,2015-03-31
"SLHC",511,2015-03-31
"FHC - Foreign",45,2015-03-31
"FBO as BHC",40,2015-03-31
"BHC",4248,2015-06-30
"FHC - Domestic",499,2015-06-30
"SLHC",500,2015-06-30
"FHC - Foreign",45,2015-06-30
"FBO as BHC",40,2015-06-30
"BHC",4200,2015-09-30
"FHC - Domestic",504,2015-09-30
"SLHC",489,2015-09-30
"FHC - Foreign",45,2015-09-30
"FBO as BHC",39,2015-09-30
"BHC",4156,2015-12-31
"FHC - Domestic",509,2015-12-31
"SLHC",466,2015-12-31
"FHC - Foreign",47,2015-12-31
"FBO as BHC",36,2015-12-31
"BHC",4134,2016-03-31
"FHC - Domestic",514,2016-03-31
"SLHC",460,2016-03-31
"FHC - Foreign",47,2016-03-31
"FBO as BHC",37,2016-03-31
"BHC",4090,2016-06-30
"FHC - Domestic",525,2016-06-30
"SLHC",454,2016-06-30
"FHC - Foreign",47,2016-06-30
"FBO as BHC",37,2016-06-30
"BHC",4041,2016-09-30
"FHC - Domestic",526,2016-09-30
"SLHC",442,2016-09-30
"IHC",12,2016-09-30
"FBO as BHC",37,2016-09-30
"FHC - Foreign",46,2016-09-30
"BHC",3997,2016-12-31
"FHC - Domestic",534,2016-12-31
"SLHC",435,2016-12-31
"IHC",12,2016-12-31
"FBO as BHC",37,2016-12-31
"FHC - Foreign",46,2016-12-31
