"Type","V1","yearqtr"
"FBO as BHC",12,1970-09-30
"SLHC",16,1970-09-30
"FHC - Foreign",1,1970-09-30
"BHC",1525,1970-12-31
"FBO as BHC",27,1970-12-31
"SLHC",16,1970-12-31
"FHC - Foreign",1,1970-12-31
"BHC",1540,1971-03-31
"FBO as BHC",27,1971-03-31
"SLHC",16,1971-03-31
"FHC - Foreign",1,1971-03-31
"BHC",1548,1971-06-30
"FBO as BHC",27,1971-06-30
"SLHC",16,1971-06-30
"FHC - Foreign",1,1971-06-30
"BHC",1559,1971-09-30
"FBO as BHC",28,1971-09-30
"SLHC",16,1971-09-30
"FHC - Foreign",1,1971-09-30
"BHC",1553,1971-12-31
"FBO as BHC",28,1971-12-31
"SLHC",16,1971-12-31
"FHC - Foreign",1,1971-12-31
"BHC",1555,1972-03-31
"FBO as BHC",30,1972-03-31
"SLHC",16,1972-03-31
"FHC - Foreign",1,1972-03-31
"BHC",1550,1972-06-30
"FBO as BHC",32,1972-06-30
"SLHC",16,1972-06-30
"FHC - Foreign",1,1972-06-30
"BHC",1555,1972-09-30
"FBO as BHC",32,1972-09-30
"SLHC",16,1972-09-30
"FHC - Foreign",1,1972-09-30
"BHC",1557,1972-12-31
"FBO as BHC",32,1972-12-31
"SLHC",16,1972-12-31
"FHC - Foreign",1,1972-12-31
"BHC",1570,1973-03-31
"FBO as BHC",31,1973-03-31
"SLHC",16,1973-03-31
"FHC - Foreign",1,1973-03-31
"BHC",1593,1973-06-30
"FBO as BHC",30,1973-06-30
"SLHC",16,1973-06-30
"FHC - Foreign",1,1973-06-30
"BHC",1605,1973-09-30
"FBO as BHC",30,1973-09-30
"SLHC",16,1973-09-30
"FHC - Foreign",1,1973-09-30
"BHC",1610,1973-12-31
"FBO as BHC",32,1973-12-31
"SLHC",16,1973-12-31
"FHC - Foreign",1,1973-12-31
"BHC",1623,1974-03-31
"FBO as BHC",33,1974-03-31
"SLHC",16,1974-03-31
"FHC - Foreign",1,1974-03-31
"BHC",1643,1974-06-30
"FBO as BHC",33,1974-06-30
"SLHC",16,1974-06-30
"FHC - Foreign",1,1974-06-30
"BHC",1659,1974-09-30
"FBO as BHC",34,1974-09-30
"SLHC",16,1974-09-30
"FHC - Foreign",1,1974-09-30
"BHC",1683,1974-12-31
"FBO as BHC",37,1974-12-31
"SLHC",16,1974-12-31
"FHC - Foreign",1,1974-12-31
