Id_Rssd,asOfDate,link.node.ratio
1039502,2003-09-30,1.09346504559271
1039502,2003-12-31,1.09293394777266
1039502,2004-03-31,1.09326018808777
1039502,2004-06-30,1.09707971586425
1039502,2004-09-30,1.08542372881356
1039502,2004-12-31,1.09112627986348
1039502,2005-03-31,1.09198512005411
1039502,2005-06-30,1.09176470588235
1039502,2005-09-30,1.09142475809142
1039502,2005-12-31,1.09665551839465
1039502,2006-03-31,1.09626199139927
1039502,2006-06-30,1.09644163618224
1039502,2006-09-30,1.09631351710395
1039502,2006-12-31,1.10377043710377
1039502,2007-03-31,1.10665760869565
1039502,2007-06-30,1.10828463389481
1039502,2007-09-30,1.10772913816689
1039502,2007-12-31,1.10805300713558
1039502,2008-03-31,1.10451306413302
1039502,2008-06-30,1.08498331479422
1039502,2008-09-30,1.08453159041394
1039502,2008-12-31,1.08661069376933
1039502,2009-03-31,1.08635346756152
1039502,2009-06-30,1.08795978981037
1039502,2009-09-30,1.08862220170782
1039502,2009-12-31,1.09206275957545
1039502,2010-03-31,1.08509637987776
1039502,2010-06-30,1.08637008991955
1039502,2010-09-30,1.07672955974843
1039502,2010-12-31,1.0785472972973
1039502,2011-03-31,1.07838070628768
1039502,2011-06-30,1.08055136765023
1039502,2011-09-30,1.08170212765957
1039502,2011-12-31,1.09684210526316
1039502,2012-03-31,1.09461620469083
1039502,2012-06-30,1.09508547008547
1039502,2012-09-30,1.0989152892562
1039502,2012-12-31,1.09862385321101
1039502,2013-03-31,1.09832317073171
1039502,2013-06-30,1.09976798143852
1039502,2013-09-30,1.10136351942372
1039502,2013-12-31,1.10748264335305
1039502,2014-03-31,1.11090861754751
1039502,2014-06-30,1.11781684597219
1039502,2014-09-30,1.12430278884462
1039502,2014-12-31,1.17601410934744
1039502,2015-03-31,1.18106252258764
1039502,2015-06-30,1.18511662347279
1039502,2015-09-30,1.18589743589744
1039502,2015-12-31,1.21400088613203
1039502,2016-03-31,1.20413064361191
1039502,2016-06-30,1.21081081081081
1039502,2016-09-30,1.21131697546319
1039502,2016-12-31,1.23881499395405
1039502,2017-03-31,1.24413443246671
1039502,2017-06-30,1.16197783461211
1039502,2017-09-30,1.15561959654179
1039502,2017-12-31,1.1654373024236
1039502,2018-03-31,1.16595744680851
1039502,2018-06-30,1.16233766233766
1039502,2018-09-30,1.15946843853821
1068025,1999-12-31,1.10769230769231
1068025,2000-03-31,1.10780669144981
1068025,2000-06-30,1.11058263971463
1068025,2000-09-30,1.11111111111111
1068025,2000-12-31,1.11525423728814
1068025,2001-03-31,1.11111111111111
1068025,2001-06-30,1.11073446327684
1068025,2001-09-30,1.12109375
1068025,2001-12-31,1.11616161616162
1068025,2002-03-31,1.11645569620253
1068025,2002-06-30,1.11557788944724
1068025,2002-09-30,1.11442786069652
1068025,2002-12-31,1.1136638452237
1068025,2003-03-31,1.1039119804401
1068025,2003-06-30,1.10645933014354
1068025,2003-09-30,1.10274790919952
1068025,2003-12-31,1.1067615658363
1068025,2004-03-31,1.10991636798088
1068025,2004-06-30,1.10643564356436
1068025,2004-09-30,1.10767326732673
1068025,2004-12-31,1.10718635809988
1068025,2005-03-31,1.10661764705882
1068025,2005-06-30,1.10687960687961
1068025,2005-09-30,1.10786802030457
1068025,2005-12-31,1.10996119016818
1068025,2006-03-31,1.11082138200782
