yearqtr,Id_Rssd,BHCK2170
1989-09-30,1039502,75761000
1989-12-31,1039502,71513000
1990-03-31,1039502,74150000
1990-06-30,1039502,75216000
1990-09-30,1039502,74444000
1990-12-31,1039502,73019000
1991-03-31,1039502,72489000
1991-06-30,1039502,74130000
1991-09-30,1039502,76884000
1991-12-31,1039502,138930000
1992-03-31,1039502,136171000
1992-06-30,1039502,142405000
1992-09-30,1039502,138833000
1992-12-31,1039502,139655000
1993-03-31,1039502,147495000
1993-06-30,1039502,145522000
1993-09-30,1039502,149408000
1993-12-31,1039502,149888000
1994-03-31,1039502,166037000
1994-06-30,1039502,168921000
1994-09-30,1039502,169334000
1994-12-31,1039502,171423000
1995-03-31,1039502,185281000
1995-06-30,1039502,178531000
1995-09-30,1039502,187853000
1995-12-31,1039502,182926000
1996-03-31,1039502,301984000
1996-06-30,1039502,321761000
1996-09-30,1039502,322604000
1996-12-31,1039502,336099000
1997-03-31,1039502,340338000
1997-06-30,1039502,352033000
1997-09-30,1039502,366574000
1997-12-31,1039502,365521000
1998-03-31,1039502,365715000
1998-06-30,1039502,366995000
1998-09-30,1039502,356450000
1998-12-31,1039502,365875000
1999-03-31,1039502,361258000
1999-06-30,1039502,356868000
1999-09-30,1039502,371044000
1999-12-31,1039502,406105000
2000-03-31,1039502,391484000
2000-06-30,1039502,396045000
2000-09-30,1039502,425816000
2000-12-31,1039502,715348000
2001-03-31,1039502,713624000
2001-06-30,1039502,712702000
2001-09-30,1039502,799300000
2001-12-31,1039502,693575000
2002-03-31,1039502,712508000
2002-06-30,1039502,740546000
2002-09-30,1039502,741759000
2002-12-31,1039502,758824000
2003-03-31,1039502,755175000
2003-06-30,1039502,802627000
2003-09-30,1039502,792714000
2003-12-31,1039502,770931000
2004-03-31,1039502,801078000
2004-06-30,1039502,817763000
2004-09-30,1039502,1138469000
2004-12-31,1039502,1157248000
2005-03-31,1039502,1178305000
2005-06-30,1039502,1171283000
2005-09-30,1039502,1203033000
2005-12-31,1039502,1198942000
2006-03-31,1039502,1273282000
2006-06-30,1039502,1328001000
2006-09-30,1039502,1338029000
2006-12-31,1039502,1351520000
2007-03-31,1039502,1408918000
2007-06-30,1039502,1458042000
2007-09-30,1039502,1479575000
2007-12-31,1039502,1562147000
2008-03-31,1039502,1642862000
2008-06-30,1039502,1775670000
2008-09-30,1039502,2251469000
2008-12-31,1039502,2175052000
2009-03-31,1039502,2079188000
2009-06-30,1039502,2026642000
2009-09-30,1039502,2041009000
2009-12-31,1039502,2031989000
2010-03-31,1039502,2135796000
2010-06-30,1039502,2014019000
2010-09-30,1039502,2141595000
2010-12-31,1039502,2117605000
2011-03-31,1039502,2198161000
2011-06-30,1039502,2246764000
2011-09-30,1039502,2289240000
2011-12-31,1039502,2265792000
2012-03-31,1039502,2320164000
2012-06-30,1039502,2290146000
2012-09-30,1039502,2321284000
2012-12-31,1039502,2359141000
2013-03-31,1039502,2389349000
2013-06-30,1039502,2439494000
2013-09-30,1039502,2463309000
2013-12-31,1039502,2415689000
2014-03-31,1039502,2476650000
2014-06-30,1039502,2519995000
2014-09-30,1039502,2526655000
2014-12-31,1039502,2572773000
2015-03-31,1039502,2577148000
2015-06-30,1039502,2447994000
2015-09-30,1039502,2417121000
2015-12-31,1039502,2351698000
2016-03-31,1039502,2423808000
2016-06-30,1039502,2466096000
2016-09-30,1039502,2521029000
2016-12-31,1039502,2490972000
1986-09-30,1068025,9055811
1986-12-31,1068025,9062607
1987-03-31,1068025,8633737
1987-06-30,1068025,8939012
1987-09-30,1068025,8839314
1987-12-31,1068025,9078475
1988-03-31,1068025,9247406
1988-06-30,1068025,9411328
1988-09-30,1068025,9613564
1988-12-31,1068025,10011050
1989-03-31,1068025,9868505
1989-06-30,1068025,9974634
1989-09-30,1068025,10202753
1989-12-31,1068025,10903327
1990-03-31,1068025,15466653
1990-06-30,1068025,15577486
1990-09-30,1068025,15631111
1990-12-31,1068025,26179023
1991-03-31,1068025,26257034
1991-06-30,1068025,26214362
1991-09-30,1068025,26029455
1991-12-31,1068025,25598985
1992-03-31,1068025,24465911
1992-06-30,1068025,23650224
1992-09-30,1068025,24582803
1992-12-31,1068025,25028289
1993-03-31,1068025,57876692
1993-06-30,1068025,57988406
1993-09-30,1068025,58184393
1993-12-31,1068025,59664114
1994-03-31,1068025,61475819
1994-06-30,1068025,63356581
1994-09-30,1068025,64500250
1994-12-31,1068025,66798104
1995-03-31,1068025,67708964
1995-06-30,1068025,67481192
1995-09-30,1068025,67967051
1995-12-31,1068025,66339085
1996-03-31,1068025,65051584
1996-06-30,1068025,64763778
1996-09-30,1068025,65355683
1996-12-31,1068025,67688320
1997-03-31,1068025,67953398
1997-06-30,1068025,70161137
1997-09-30,1068025,72638639
1997-12-31,1068025,73624498
1998-03-31,1068025,73269040
1998-06-30,1068025,75677015
1998-09-30,1068025,77798854
1998-12-31,1068025,79965677
1999-03-31,1068025,79859832
1999-06-30,1068025,80814367
1999-09-30,1068025,82399613
1999-12-31,1068025,83344107
2000-03-31,1068025,83454021
2000-06-30,1068025,84412035
2000-09-30,1068025,85161375
2000-12-31,1068025,87164924
2001-03-31,1068025,86142609
2001-06-30,1068025,85522573
2001-09-30,1068025,83916385
2001-12-31,1068025,80567015
2002-03-31,1068025,80726567
2002-06-30,1068025,82238349
2002-09-30,1068025,82989895
2002-12-31,1068025,84962782
2003-03-31,1068025,86178669
2003-06-30,1068025,85094846
2003-09-30,1068025,84025016
2003-12-31,1068025,84146964
2004-03-31,1068025,84023602
2004-06-30,1068025,85794644
2004-09-30,1068025,88086347
2004-12-31,1068025,90653059
2005-03-31,1068025,89927405
2005-06-30,1068025,91010081
2005-09-30,1068025,92308685
2005-12-31,1068025,92844997
2006-03-31,1068025,93076162
2006-06-30,1068025,94576311
2006-09-30,1068025,95682192
2006-12-31,1068025,92061129
2007-03-31,1068025,93075955
2007-06-30,1068025,93490903
2007-09-30,1068025,96829723
2007-12-31,1068025,99567393
2008-03-31,1068025,101596381
2008-06-30,1068025,101957764
2008-09-30,1068025,101494797
2008-12-31,1068025,105231004
2009-03-31,1068025,98371305
2009-06-30,1068025,98389472
2009-09-30,1068025,96985260
2009-12-31,1068025,93381546
2010-03-31,1068025,95260404
2010-06-30,1068025,94286771
2010-09-30,1068025,94073954
2010-12-31,1068025,91718216
2011-03-31,1068025,90311402
2011-06-30,1068025,88858600
2011-09-30,1068025,89405605
2011-12-31,1068025,88762571
2012-03-31,1068025,87569856
2012-06-30,1068025,86741424
2012-09-30,1068025,87302272
2012-12-31,1068025,89425613
2013-03-31,1068025,89441210
2013-06-30,1068025,90858779
2013-09-30,1068025,91016413
2013-12-31,1068025,92991716
2014-03-31,1068025,90928218
2014-06-30,1068025,91934784
2014-09-30,1068025,89884477
2014-12-31,1068025,93882115
2015-03-31,1068025,94296497
2015-06-30,1068025,94674550
2015-09-30,1068025,95476859
2015-12-31,1068025,95270648
2016-03-31,1068025,98570702
2016-06-30,1068025,101406977
2016-09-30,1068025,136228389
2016-12-31,1068025,136825848
1986-09-30,1068191,7016598
1986-12-31,1068191,7717915
1987-03-31,1068191,7492340
1987-06-30,1068191,7615546
1987-09-30,1068191,7914201
1987-12-31,1068191,8835915
1988-03-31,1068191,8369396
1988-06-30,1068191,8799826
1988-09-30,1068191,9031871
1988-12-31,1068191,9506004
1989-03-31,1068191,9758173
1989-06-30,1068191,10350615
1989-09-30,1068191,10179453
1989-12-31,1068191,11679762
1990-03-31,1068191,11591965
1990-06-30,1068191,11683988
1990-09-30,1068191,11889441
1990-12-31,1068191,11808785
1991-03-31,1068191,11655888
