Rank,Institution Name (RSSD ID),Location,12/31/2016 Total Assets,RSSD ID
63,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT","$26,083,711 ",1145476
64,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL","$25,672,428 ",2260406
65,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$25,659,294 ",1049341
66,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR","$24,813,147 ",2747644
67,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$24,330,318 ",3242735
68,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$24,295,194 ",2307280
69,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS","$23,984,114 ",1086533
70,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$23,193,955 ",2477754
71,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ","$22,864,439 ",1048773
72,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$22,333,330 ",1109599
73,PACWEST BANCORP (2875332),"BEVERLY HILLS, CA","$21,869,767 ",2875332
74,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA","$21,844,817 ",3005332
75,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$21,697,213 ",2706735
76,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA","$21,659,190 ",2291914
77,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN","$21,454,635 ",2389941
78,"MACY'S, INC. (4103310)","CINCINNATI, OH","$21,274,376 ",4103310
79,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO","$20,682,532 ",1049828
80,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$20,053,773 ",1839319
81,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$19,302,317 ",1090987
82,STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO","$19,129,356 ",3063622
83,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$19,046,202 ",1020902
84,BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR","$18,890,142 ",1097089
85,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA","$18,888,497 ",1117129
86,CHEMICAL FINANCIAL CORPORATION (1201934),"MIDLAND, MI","$17,355,179 ",1201934
87,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ","$17,200,842 ",2349815
88,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO","$17,046,125 ",1060627
89,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$16,708,319 ",1095674
90,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI","$16,492,367 ",1025309
91,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL","$15,401,301 ",3057395
92,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,873,654 ",3065617
93,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN","$14,860,359 ",1098303
94,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$14,728,837 ",1097614
95,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY","$14,558,652 ",2504128
96,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA","$14,520,769 ",1843080
97,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$14,508,892 ",1076217
98,STERLING BANCORP (3083291),"MONTEBELLO, NY","$14,212,535 ",3083291
99,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$14,053,094 ",3852022
100,"HOPE BANCORP, INC. (2961879)","LOS ANGELES, CA","$13,441,422 ",2961879
101,TRUSTMARK CORPORATION (1079562),"JACKSON, MS","$13,352,333 ",1079562
102,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK","$13,299,955 ",2568278
103,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$13,189,828 ",3828036
104,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$12,907,412 ",3446412
105,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$12,738,062 ",3838727
106,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$12,693,896 ",1094314
107,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$12,425,506 ",3842957
108,FIRST BANCORP (2744894),"SAN JUAN, PR","$11,922,455 ",2744894
109,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX","$11,804,041 ",1104231
110,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN","$11,570,247 ",1020180
111,"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD","$11,422,617 ",4809920
112,"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL","$11,422,555 ",1208184
113,"PINNACLE FINANCIAL PARTNERS, INC. (2925657)","NASHVILLE, TN","$11,194,623 ",2925657
114,"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA","$11,029,853 ",3153130
115,"UNITED COMMUNITY BANKS, INC. (1249347)","BLAIRSVILLE, GA","$10,715,518 ",1249347
